Quel est le rôle du bloc K(p) dans le schéma bloc d'un asservissement?;La Fonction de Transfert de la boucle de retour (capteur).;La Fonction de Transfert du correcteur.;La Fonction de Transfert du processus.;Le pôle dominant.
Quelle est l'équation caractéristique d'un système asservi en boucle fermée (BF)?;1 + H_BO(p) = 0.;H_BF(p) = 0.;H_BO(p) = 0.;N(p) = 0.
Comment se nomme un système asservi qui ne présente pas de divergence temporelle en sortie pour un signal borné en entrée?;Système stable (EB/SB).;Système instable.;Système oscillant.;Système de classe 0.
Selon l'étude des pôles de la FTBF quand un système est-il stable?;Si la FTBF ne comporte que des pôles à partie réelle négative.;Si la FTBF ne comporte que des pôles à partie réelle positive.;Si la FTBF comporte des pôles à partie réelle nulle.;Si la FTBF a un seul pôle à l'origine.
Que génère un système possédant des pôles complexes à partie réelle nulle?;Des oscillations entretenues (non amorties).;Une divergence temporelle.;Une décroissance rapide.;Une réponse constante.
Que se passe-t-il si un système présente un seul pôle à l'origine (intégrateur pur) en réponse à un échelon?;La sortie tend asymptotiquement vers une rampe (instable).;La sortie tend vers une valeur constante.;La sortie tend vers zéro.;La sortie oscille de façon amortie.
Comment appelle-t-on les pôles à partie réelle négative les plus proches de l'axe des imaginaires?;Pôles dominants.;Pôles stables.;Pôles atténués.;Pôles intégrateurs.
Quelle est la formule de la Marge de Phase (M*phi*)?;M*phi* = Arg[H_BO(j*omega*u)] - (-180 degrés).;M*phi* = Arg[H_BO(j*omega*c)].;M*phi* = 0 - 20 log(|H_BO(j*omega*u)|).;M*phi* = Arg[H_BO(j*omega*c)].
Quelle est la formule de la Marge de Gain (MG)?;MG = 0 - 20 log(|H_BO(j*omega*c)|).;MG = Arg[H_BO(j*omega*c)] - (-180 degrés).;MG = 20 log(|H_BO(j*omega*u)|).;MG = 0 - 20 log(|H_BO(j*omega*u)|).
Quelles marges de stabilité sont considérées comme satisfaisantes pour la plupart des systèmes asservis?;M*phi* = 45 degrés et MG = 10 dB.;M*phi* = 0 degré et MG = 0 dB.;M*phi* = -45 degrés et MG = -10 dB.;M*phi* = 90 degrés et MG = 1 dB.
Quel est le déphasage (*phi*) associé au point critique du lieu de transfert de la BO?;-180 degrés.;0 degré.;-90 degrés.;+180 degrés.
Un système du 1er ordre (forme canonique) est-il stable après bouclage?;Intrinsèquement stable car le déphasage n'atteint jamais -180 degrés.;Intrinsèquement instable.;Stable uniquement si le gain est nul.;Stable uniquement si le gain est infini.
La présence d'un intégrateur dans la chaîne d'action a-t-elle un impact sur la stabilité?;Oui elle apporte un déphasage de -90 degrés ce qui déstabilise le système.;Non elle n'a aucun impact sur la phase.;Oui elle rend le système intrinsèquement stable.;Oui elle augmente la marge de phase.
Comment est modélisé un retard pur T dans la FTBO selon la transformation de Laplace?;Multiplication par e^(-T*p).;Multiplication par K / (1 + T*p).;Multiplication par 1 / p.;Multiplication par p.
Quel est l'impact d'un retard pur sur la marge de phase d'un système du 1er ordre?;Le retard pur diminue la marge de phase (facteur d'instabilité).;Le retard pur augmente la marge de phase.;Le retard pur n'affecte pas la marge de phase.;Le retard pur augmente la marge de gain.
Quel est le type de correcteur (P I ou D) qui est utilisé pour corriger une erreur statique?;Un intégrateur (PI ou I).;Un dérivateur (PD).;Un proportionnel (P).;Un filtre passe-bas.
Pour un échelon quelle erreur est utilisée pour analyser la précision statique d'un asservissement?;L'erreur de position.;L'erreur de traînage.;L'erreur d'accélération.;L'erreur de régulation.
Pour une rampe quelle erreur est utilisée pour analyser la précision statique d'un asservissement?;L'erreur de traînage.;L'erreur de position.;L'erreur d'accélération.;L'erreur de poursuite.
Quel est le lien entre la classe du système et la FTBO?;La classe est égale au nombre de pôles à l'origine (intégrateurs) de la FTBO.;La classe est égale au degré du dénominateur de la FTBF.;La classe est égale au gain statique.;La classe est égale à la marge de phase.
Quelle est l'erreur de position pour un système de classe 0 soumis à un échelon E0?;Epsilon_0 / (1 + K).;V_0 / K.;+ infini.;0.
Comment sont les pôles d'un système du 2nd ordre si le facteur d'amortissement m < 1?;Deux pôles complexes conjugués (oscillatoire amorti).;Deux pôles réels négatifs (apériodique amorti).;Un pôle double négatif (apériodique critique).;Deux pôles réels positifs.
Quel pourcentage de la valeur finale atteint la réponse d'un 1er ordre au bout d'une constante de temps *tau*?;63% de la valeur finale.;50% de la valeur finale.;95% de la valeur finale.;100% de la valeur finale.
Quel est le temps de réponse à 5% (t_r_5%) d'un système du 1er ordre?;t_r_5% est environ égal à 3 * *tau*.;t_r_5% est environ égal à *tau*.;t_r_5% est environ égal à 5 * *tau*.;t_r_5% est la valeur finale.
Quel est l'objectif du filtrage?;D'éliminer ou d'affaiblir des fréquences indésirables.;D'amplifier le signal de mesure.;De convertir le signal en numérique.;De linéariser la réponse du capteur.
Quels composants utilise un filtre analogique passif?;Résistances (R) Inductances (L) et Capacités (C).;Résistances (R) Capacités (C) et Amplificateurs Linéaires Intégrés (ALI).;Processeurs de Signal Numérique (DSP).;Transistors et diodes.
Quelle est la transmittance H(j*omega) d'un quadripôle?;Le rapport de la tension de sortie sur la tension d'entrée V_s(j*omega) / V_e(j*omega).;Le rapport de la tension d'entrée sur la tension de sortie V_e(j*omega) / V_s(j*omega).;Le module du gain en décibels.;Le déphasage du signal.
Comment est définie la limite de la bande passante (pulsation de coupure *omega*c) à -3 dB?;|H(j*omega*c)| = H_max / racine(2).;20 log(|H(j*omega*c)|) = 0 dB.;|H(j*omega*c)| = H_max.;20 log(|H(j*omega*c)|) = G_max dB.
Pour un filtre passe-bas du 1er ordre quelle est sa bande passante à -3 dB?;[0 à f_p] ou [0 à *omega*p].;[*omega*p à infini].;[0 à infini].;[f_A à f_P].
Pour un filtre passe-haut du 1er ordre quelle est sa bande passante à -3 dB?;[f_p à infini] ou [*omega*p à infini].;[0 à f_p].;[0 à infini].;[*omega*A à *omega*P].
Quelle est la forme de l'équation différentielle du 1er ordre caractérisant un circuit RC?;tau * ds(t)/dt + s(t) = K * e(t).;ds(t)/dt + s(t) = K * e(t).;tau^2 * d^2s(t)/dt^2 + tau * ds(t)/dt + s(t) = K * e(t).;ds(t)/dt = K * e(t).
Quel est le type de circuit pour un filtre passe-bas du premier ordre (constitué de R et C)?;Circuit RC (Résistance en série Capacité en parallèle sortie sur C).;Circuit CR (Capacité en série Résistance en parallèle sortie sur R).;Circuit RLC série.;Circuit RLC parallèle.
Quel est le type de circuit pour un filtre passe-haut du premier ordre (constitué de R et C)?;Circuit CR (Capacité en série Résistance en parallèle sortie sur R).;Circuit RC (Résistance en série Capacité en parallèle sortie sur C).;Circuit RLC série.;Circuit RLC parallèle.
Quel est le gain d'un circuit RC du 1er ordre lorsque *omega* >> *omega*0?;Le gain décroît avec une pente de -20 dB/décade.;Le gain est constant et égal à K.;Le gain croît avec une pente de 20 dB/décade.;Le gain est nul.
Quel est le gain d'un circuit CR du 1er ordre lorsque *omega* << *omega*0?;Le gain croît avec une pente de 20 dB/décade.;Le gain est constant et égal à K.;Le gain décroît avec une pente de -20 dB/décade.;Le gain est nul.
Quelle est la valeur de la phase *phi*(*omega*0) pour un circuit RC du 1er ordre à la pulsation de coupure *omega*0?;-45 degrés.;+45 degrés.;-90 degrés.;0 degré.
Quelle est la valeur du gain en dB G_dB(*omega*0) pour un circuit RC du 1er ordre à la pulsation de coupure *omega*0?;-3 dB.;0 dB.;-20 dB.;-40 dB.
Quel est le gain asymptotique à haute fréquence pour un 1er ordre en dB/décade?;-20 dB/décade.;-40 dB/décade.;0 dB/décade.;-60 dB/décade.
Quel est le gain asymptotique à haute fréquence pour un 2nd ordre en dB/décade?;-40 dB/décade.;-20 dB/décade.;-60 dB/décade.;0 dB/décade.
Quel est l'angle de phase asymptotique haute fréquence pour un 1er ordre?;-90 degrés.;-45 degrés.;-180 degrés.;0 degré.
Quel est l'angle de phase asymptotique haute fréquence pour un 2nd ordre?;-180 degrés.;-90 degrés.;-45 degrés.;0 degré.
Comment est qualifié un système du 2nd ordre dont la réponse indicielle présente un pic (facteur d'amortissement m < racine(2)/2)?;Résonant.;Apériodique amorti.;Critique.;Instable.
Comment appelle-t-on le gain maximal G_A dans la bande atténuée d'un gabarit de filtre?;Le gain maximal dans la bande atténuée.;Le gain minimal dans la bande passante.;La fréquence d'atténuation.;Le gain de coupure.
Quel est le rôle du bloc 1/p dans la chaîne d'action d'un asservissement de position?;Il réalise l'intégration de la vitesse angulaire *Omega*(p) pour obtenir la position *theta*(p).;Il réalise la dérivation de la position *theta*(p).;Il représente le capteur de position.;Il représente l'amplificateur.
Comment se traduit un retard T dans la FTBO sur la courbe de gain de Bode?;L'amplitude est constante et égale à 1 (0 dB).;L'amplitude décroît linéairement.;L'amplitude augmente linéairement.;L'amplitude présente une résonance.
Quelle est l'approximation du facteur d'amortissement m pour un système en BF comparable à un 2nd ordre oscillant bien amorti?;m est environ égal à M*phi* (degrés) / 100.;m est environ égal à M*phi* (degrés).;m est environ égal à 100 / M*phi* (degrés).;m est environ égal à MG / 10.
Que signifie la notation x sur la carte des pôles et des zéros?;Un pôle du système.;Un zéro du système.;L'ordre du pôle.;La position du pôle dominant.
Quelle est la condition sur les coefficients a0 a1 et a2 (positifs) pour la stabilité algébrique d'un système du 2nd ordre?;a0 a1 et a2 doivent être strictement positifs.;Seul a0 doit être positif.;Seul a1 doit être positif.;Seul a2 doit être positif.
Quel critère graphique de stabilité utilise le point critique (-1) dans le plan complexe?;Le critère de Nyquist.;L'étude des pôles de la FTBF.;Les critères algébriques.;Le critère de Bode.
Que signifie le fait que la stabilité d'un système soit conditionnée par les zéros de 1 + H_BO(p)?;Les pôles de la FTBF sont les zéros de 1 + H_BO(p).;Les pôles de la FTBF sont les zéros de H_BO(p).;Les zéros de la FTBF sont les pôles de 1 + H_BO(p).;La stabilité dépend uniquement de H(p).