Quelle est la forme générale du Torseur d'Actions Mécaniques (AM) au point A?;{T} = {Résultante R | Moment en A M_A}_A.;{T} = {Vitesse V | Moment cinétique H}_A.;{T} = {Résultante R | Vitesse V}_A.;{T} = {Accélération A | Vitesse V}_A.
Comment se nomme l'action mécanique qui tend à générer une translation?;Résultante (R).;Moment (M).;Torseur Couple.;Glisseur.
Comment se nomme l'action mécanique qui tend à générer une rotation?;Moment (M).;Résultante (R).;Vecteur Vitesse.;Torseur Nul.
Quelle est la formule de transport du moment (Varignon) du point A au point B?;M_B = M_A + BA ^ R.;M_B = M_A + AB ^ R.;M_B = M_A - AB ^ R.;M_B = R + M_A.
Qu'est-ce qu'un Torseur Glisseur?;Un torseur s'il existe un point P où le moment est nul.;Un torseur dont la résultante est nulle.;Un torseur dont le moment est constant en tout point.;Un torseur dont la résultante est constante.
Qu'est-ce qu'un Torseur Couple?;Un torseur dont la résultante est nulle.;Un torseur s'il existe un point P où le moment est nul.;Un torseur qui traduit une translation.;Un torseur dont les deux vecteurs sont égaux.
Quelle action un torseur couple traduit-il?;Une rotation sans translation.;Une translation sans rotation.;Une translation et une rotation.;Une action nulle.
Comment est définie le Centre de Gravité G (simplification statique)?;Le point d'application du poids.;Le centre du solide.;Le point où la vitesse est nulle.;Le centre de masse.
Quelle propriété relie le centre de gravité à la géométrie du solide?;Si un solide admet un élément de symétrie le centre de gravité y appartient.;Le centre de gravité est toujours au milieu des arêtes.;Le centre de gravité est toujours à l'origine du repère.;Le centre de gravité n'est pas influencé par la symétrie.
Quelle est la formule des barycentres pour le vecteur OG (composé de 3 solides S1 S2 S3)?;OG = (m1*OG1 + m2*OG2 + m3*OG3) / (m1 + m2 + m3).;OG = m1*OG1 + m2*OG2 + m3*OG3.;OG = (OG1 + OG2 + OG3) / 3.;OG = (m1*OG1 - m2*OG2) / (m1 + m2).
Quelle est la forme du torseur statique d'une Liaison ponctuelle de normale Z?;{T} = {0 0 Z | 0 0 0}_A.;{T} = {X Y Z | L M N}_A.;{T} = {X Y Z | 0 0 0}_A.;{T} = {0 0 0 | 0 0 N}_A.
Quelle est la forme du torseur statique d'une Liaison pivot d'axe X?;{T} = {X Y Z | 0 M N}_O.;{T} = {0 Y Z | L M N}_O.;{T} = {X 0 0 | 0 M N}_O.;{T} = {X Y Z | L 0 0}_O.
Quelle est la forme du torseur statique d'une Liaison rotule de centre O?;{T} = {X Y Z | 0 0 0}_O.;{T} = {0 0 0 | L M N}_O.;{T} = {X Y Z | L M N}_O.;{T} = {X 0 0 | 0 0 0}_O.
Comment s'énonce le théorème des actions réciproques?;{T_1->2} = -{T_2->1} (Torseur opposé).;{T_1->2} = {T_2->1}.;R_1->2 = M_2->1.;M_A(R_1->2) = M_B(R_2->1).
Quelle est l'énoncé de la condition d'équilibre dans le PFS?;Le torseur représentatif des actions extérieures est égal au torseur nul.;La somme des moments est nulle en un seul point.;La somme des forces internes est nulle.;La somme des vitesses est nulle.
Quelle est la loi de Coulomb pour le cône d'adhérence (glissement)?;T = f * N (Force tangentielle inférieure ou égale au coefficient de frottement fois la normale).;T = f * N (Force tangentielle égale au frottement fois la normale).;T > f * N.;f = tan(phi).
Comment le coefficient de frottement f est-il lié au demi-angle du cône *phi*?;f = tan(*phi*).;f = sin(*phi*).;f = 1 / tan(*phi*).;f = *phi*.
Dans le cas d'adhérence (pas de glissement) où se situe la résultante de contact F?;À l'intérieur du cône de frottement (T < f*N).;Sur la surface du cône de frottement (T = f*N).;À l'extérieur du cône de frottement (T > f*N).;À l'extérieur du solide.
Qu'est-ce qu'un Solide Indéformable (en mécanique)?;Un solide S tel que pour tout points A et B la distance AB est constante au cours du temps.;Un solide qui n'est pas en mouvement.;Un solide dont l'accélération est nulle.;Un solide dont la masse est nulle.
Comment se nomme la valeur absolue du mouvement en translation lorsque S2 fait un tour par rapport à S1 dans une liaison hélicoïdale?;Le pas de la liaison hélicoïdale.;Le jeu de la liaison.;Le degré de liberté.;Le facteur de réduction.
Combien de degrés de liberté (ddl) une Liaison Pivot autorise-t-elle?;1 ddl (une rotation).;5 ddl (une translation).;2 ddl (une translation et une rotation).;0 ddl.
Combien de degrés de liberté (ddl) une Liaison Ponctuelle autorise-t-elle?;5 ddl (3 rotations 2 translations).;1 ddl.;2 ddl.;0 ddl.
Quelle est la définition du vecteur position du point P dans le repère R0?;Le vecteur OP avec O l'origine du repère R0.;Le vecteur vitesse du point P.;Le vecteur accélération du point P.;Le vecteur rotation du solide.
Quelle est la formule du vecteur vitesse du point P dans R0?;V(P/R0) = d(OP)/dt |_R0.;V(P/R0) = d(OP)/dt |_R1.;V(P/R0) = OP ^ Omega.;V(P/R0) = 0.
Quelle est la formule de la dérivée d'un vecteur U (cinématique);d(U)/dt |_R0 = d(U)/dt |_R1 + Omega(R1/R0) ^ U.;d(U)/dt |_R0 = d(U)/dt |_R1 - Omega(R1/R0) ^ U.;d(U)/dt |_R0 = Omega(R1/R0) ^ U.;d(U)/dt |_R0 = d(U)/dt |_R1.
Comment est défini le vecteur rotation Omega(R1/R0)?;Il caractérise la vitesse angulaire de R1 par rapport à R0.;Il caractérise la vitesse de translation de R1.;Il est toujours nul.;Il est égal à la dérivée du vecteur position.
Quelle est l'expression du Torseur Cinématique au point A?;{V_S/R0} = {Omega_S/R0 | V(A in S/R0)}_A.;{V_S/R0} = {R_S->R0 | V(A in S/R0)}_A.;{V_S/R0} = {R_S->R0 | M_A}_A.;{V_S/R0} = {V(A in S/R0) | Omega_S/R0}_A.
Quelle est la formule de composition des vecteurs vitesses (vitesse absolue)?;V(P in S/R0) = V(P in S/R1) + V(P in R1/R0).;V(P in S/R0) = V(P in S/R1) - V(P in R1/R0).;V(P in S/R0) = Omega ^ OP.;V(P in S/R0) = V(P in R1/R0).
Qu'est-ce que le vecteur vitesse de glissement V(I in S1/S2)?;Le vecteur vitesse relative V(I in S1/R0) - V(I in S2/R0).;Le vecteur vitesse absolue V(I in S1/R0).;Le vecteur rotation Omega(S1/S2).;Le vecteur accélération.
Quelle est la condition de roulement sans glissement entre deux solides S1 et S2 au point I?;V(I in S1/S2) = vecteur nul.;V(I in S1/S2) = vitesse de translation.;V(I in S1/S2) est perpendiculaire à la normale.;Omega(S1/S2) est nul.
Quelle est la formule de composition des vecteurs rotation?;Omega(S2/R0) = Omega(S2/S1) + Omega(S1/R0).;Omega(S2/R0) = Omega(S2/S1) - Omega(S1/R0).;Omega(S2/R0) = Omega(S2/S1) * Omega(S1/R0).;Omega(S2/R0) = Vitesse / Rayon.
Quelle est la définition d'un mouvement de translation d'un solide S2 par rapport à R1?;Le vecteur AB est équipollent à lui-même au cours du temps pour tout A B de S2.;Le vecteur rotation est non nul.;Deux points du solide sont fixes par rapport à R1.;Le champ des vitesses est nul.
Dans un mouvement de translation que peut-on dire des vitesses de tous les points du solide?;Tous les points du solide ont la même vitesse.;Tous les points du solide ont une vitesse nulle.;La vitesse est proportionnelle au rayon.;La vitesse est opposée au vecteur position.
Quelle est la formule de Willis pour le rapport de réduction d'un train d'engrenages (simple ou composé)?;*omega*S / *omega*E = (-1)^p * (Produit des Z menantes / Produit des Z menées).;*omega*S / *omega*E = R_e / R_s.;*omega*S / *omega*E = -Z_e / Z_s.;*omega*S / *omega*E = 1.
Quel est le rapport de réduction pour un engrenage simple (2 roues)?;*omega*R / *omega*M = -R_S / R_2 = -Z_S / Z_2.;*omega*R / *omega*M = R_2 / R_S.;*omega*R / *omega*M = +Z_S / Z_2.;*omega*R / *omega*M = 1.
Quelle est la relation entre la vitesse V et la vitesse angulaire *omega* pour une liaison pignon-crémaillère?;V = R * *omega* (Vitesse linéaire = Rayon * Vitesse angulaire).;V = R / *omega*.;V = R + *omega*.;V = R - *omega*.
Qu'est-ce qui caractérise le mouvement hélicoïdal dans le torseur cinématique?;V_x = P/(2*pi) * *omega*x.;V_x = *omega*x.;V_x = 0.;V_x est indépendante de *omega*x.
Quel avantage est associé au mécanisme vis-écrou?;Grande réduction de vitesse et peu d'encombrement.;Rendement très bon.;Réversibilité.;Pas de frottement.
Quel inconvénient est associé au mécanisme vis-écrou?;Rendement très mauvais et irréversibilité.;Peu d'encombrement.;Grande réduction de vitesse.;Réversibilité.
Quelle est la définition analytique du produit scalaire de deux vecteurs V1(a|b|c) et V2(a'|b'|c')?;V1 . V2 = a*a' + b*b' + c*c'.;V1 . V2 = a*b' - b*a'.;V1 . V2 = V1 ^ V2.;V1 . V2 = ||V1|| * ||V2||.
Que signifie V1 . V2 = 0?;Les vecteurs V1 et V2 sont orthogonaux.;Les vecteurs V1 et V2 sont colinéaires.;V1 et V2 sont égaux.;V1 est nul.
Quelle est la relation entre le produit vectoriel V1 ^ V2 et V2 ^ V1 (antisymétrie)?;V1 ^ V2 = -(V2 ^ V1).;V1 ^ V2 = V2 ^ V1.;V1 ^ V2 = V1 . V2.;V1 ^ V2 = 0.
Que signifie V1 ^ V2 = vecteur nul?;Les vecteurs V1 et V2 sont colinéaires.;Les vecteurs V1 et V2 sont orthogonaux.;V1 et V2 sont égaux.;V1 est nul.
Dans un changement de base (rotation d'angle *theta*) quelle est la projection de x2 sur x1?;x2 . x1 = cos(*theta*).;x2 . x1 = sin(*theta*).;x2 . x1 = 0.;x2 . x1 = 1.
Quelle est l'interprétation géométrique du produit scalaire V . U (U vecteur unitaire)?;Mesure algébrique de la projection de V sur la droite dirigée par U.;Mesure de l'angle entre V et U.;Mesure de l'aire formée par V et U.;Mesure de la longueur de V.
Quelle est la formule du vecteur accélération du point P dans R0?;A(P/R0) = d(V(P/R0))/dt |_R0.;A(P/R0) = V(P/R0) ^ Omega.;A(P/R0) = d(V(P/R0))/dt |_R1.;A(P/R0) = d(OP)/dt.
Comment s'écrit le torseur cinématique d'une liaison Pivot Glissant d'axe (O | X)?;{Omega_x V_x | 0 0 | 0 0}_O.;{Omega_x V_x | Omega_y V_y | Omega_z V_z}_O.;{0 0 | 0 0 | Omega_z V_z}_O.;{Omega_x 0 | 0 V_y | 0 V_z}_O.
Quelle est la forme du torseur cinématique d'une liaison Rotule de centre O?;{Omega_x 0 | Omega_y 0 | Omega_z 0}_O.;{0 V_x | 0 V_y | 0 V_z}_O.;{Omega_x V_x | Omega_y V_y | Omega_z V_z}_O.;{0 0 | 0 0 | 0 0}_O.
Quelle est la forme du torseur cinématique d'une liaison Hélicoïdale d'axe (O | X)?;{Omega_x V_x | 0 0 | 0 0}_O avec V_x = P/(2*pi) * Omega_x.;{Omega_x 0 | 0 0 | 0 0}_O.;{Omega_x V_x | Omega_y V_y | Omega_z V_z}_O.;{0 V_x | 0 V_y | 0 V_z}_O.